model,quant,constrained,scenario,rep,primary_failure,steps_used,oracle_steps,injection_fired,recovered,ended_by_final,final_answer,trace
llama-3.1-8b,Q3_K_M,0,s11_invoice_creation,1,loop,10,5,0,0,0,,find_client > get_contract_terms > get_tax_rate > get_currency_conversion!wrong-tool
llama-3.1-8b,Q3_K_M,0,s16_food_delivery_order,1,premature-stop,7,4,1,1,1,"Order ID: OD-7731, Order Total: 21.00 USD",find_restaurant > get_menu > place_order > place_order!bad-args > place_order > confirm_delivery
llama-3.1-8b,Q3_K_M,1,s05_analytics_pipeline,0,loop,10,4,1,1,0,,find_dataset > fetch_rows > fetch_rows > validate_rows > store_report!bad-args > store_report!bad-args > store_report!bad-args > store_report!bad-args > fetch_rows!loop > fetch_rows!loop
llama-3.1-8b,Q3_K_M,1,s06_order_placement,0,loop,10,4,1,0,0,,search_catalog > add_to_cart > apply_coupon > get_gift_wrap_options!wrong-tool > checkout > checkout!bad-args > checkout!bad-args > checkout!bad-args > checkout!bad-args > checkout!bad-args
llama-3.1-8b,Q3_K_M,1,s09_bank_transfer,0,loop,10,5,0,0,0,,get_fee_schedule > get_balance!bad-args > list_accounts > get_balance > get_balance > verify_payee > get_balance!loop > get_balance!loop > get_balance!loop > get_balance!loop
llama-3.1-8b,Q3_K_M,1,s10_expense_report,0,loop,9,4,1,0,0,,get_report_items > get_policy_limits > submit_report > submit_report!bad-args > get_report_items!loop > submit_report!bad-args > submit_report!bad-args > submit_report!bad-args > submit_report!bad-args
llama-3.1-8b,Q3_K_M,1,s11_invoice_creation,0,loop,10,5,0,0,0,,find_client > get_contract_terms > get_tax_rate > get_currency_conversion!wrong-tool > get_currency_conversion!wrong-tool > get_currency_conversion!wrong-tool > get_currency_conversion!wrong-tool > get_currency_conversion!wrong-tool > get_currency_conversion!wrong-tool > get_currency_conversion!wrong-tool
llama-3.1-8b,Q3_K_M,1,s16_food_delivery_order,0,premature-stop,7,4,1,1,1,"Order ID: OD-7731, Order Total: 21.00 USD",find_restaurant > get_menu > place_order > place_order!bad-args > place_order > confirm_delivery
llama-3.1-8b,Q3_K_M,1,s05_analytics_pipeline,1,loop,10,4,1,1,0,,find_dataset > fetch_rows > fetch_rows > validate_rows > store_report!bad-args > store_report!bad-args > store_report!bad-args > fetch_rows!loop > fetch_rows!loop > fetch_rows!loop
llama-3.1-8b,Q3_K_M,1,s06_order_placement,1,premature-stop,9,4,1,0,1,Order failed due to missing shipping fee information.,search_catalog > add_to_cart > apply_coupon > get_gift_wrap_options!wrong-tool > checkout > checkout!bad-args > search_catalog!bad-args > checkout!bad-args
llama-3.1-8b,Q3_K_M,1,s09_bank_transfer,1,loop,10,5,0,0,0,,get_fee_schedule > get_balance!bad-args > list_accounts > get_balance > verify_payee > get_balance > get_balance!loop > get_balance!loop > get_balance!loop > get_balance!loop
llama-3.1-8b,Q3_K_M,1,s10_expense_report,1,loop,9,4,0,0,0,,get_report_items > get_policy_limits > get_report_items!loop > get_report_items!loop > get_report_items!loop > get_report_items!loop > get_report_items!loop > get_report_items!loop > get_report_items!loop
llama-3.1-8b,Q3_K_M,1,s11_invoice_creation,1,loop,10,5,0,0,0,,find_client > get_contract_terms > get_tax_rate > get_currency_conversion!wrong-tool > get_currency_conversion!wrong-tool > get_currency_conversion!wrong-tool > get_currency_conversion!wrong-tool > get_currency_conversion!wrong-tool > get_currency_conversion!wrong-tool > get_currency_conversion!wrong-tool
llama-3.1-8b,Q3_K_M,1,s16_food_delivery_order,1,premature-stop,7,4,1,1,1,"Order ID: OD-7731, Order Total: 21.00 USD",find_restaurant > get_menu > place_order > place_order!bad-args > place_order > confirm_delivery
llama-3.1-8b,Q4_K_M,0,s04_cloud_drive,0,premature-stop,7,5,1,1,1,"SL-4192, budget_2026.xlsx",list_folder > create_folder > move_file > move_file > set_permission > get_share_link
llama-3.1-8b,Q4_K_M,0,s05_analytics_pipeline,0,loop,10,4,1,1,0,,find_dataset > fetch_rows > fetch_rows > validate_rows > store_report!bad-args > fetch_rows!loop > fetch_rows!loop > fetch_rows!loop > fetch_rows!loop > fetch_rows!loop
llama-3.1-8b,Q4_K_M,0,s06_order_placement,0,loop,10,4,1,0,0,,search_catalog > add_to_cart > apply_coupon > checkout > checkout!bad-args > checkout!bad-args > checkout!bad-args
llama-3.1-8b,Q4_K_M,0,s09_bank_transfer,0,loop,10,5,0,0,0,,get_fee_schedule > get_fee_schedule!loop > list_accounts > verify_payee > get_balance > get_fee_schedule!loop > get_balance!loop > get_fee_schedule!loop > get_balance!loop > get_balance!loop
llama-3.1-8b,Q4_K_M,0,s10_expense_report,0,loop,9,4,0,0,0,,get_report_items > get_policy_limits > get_report_items!loop > filter!invalid-output > filter!invalid-output > get_report_items!loop > filter!invalid-output > get_policy_limits!loop
llama-3.1-8b,Q4_K_M,0,s11_invoice_creation,0,loop,10,5,0,0,0,,find_client > get_contract_terms > get_tax_rate > get_currency_conversion!wrong-tool
llama-3.1-8b,Q4_K_M,0,s16_food_delivery_order,0,premature-stop,7,4,1,1,1,"Order ID: OD-7731, Order Total: 21.00 USD",find_restaurant > get_menu > place_order > place_order!bad-args > place_order > confirm_delivery
llama-3.1-8b,Q4_K_M,0,s17_event_tickets,0,premature-stop,9,5,1,1,1,"Purchase reference TX-5510, amount charged $186",list_shows > get_seat_price > get_seat_price > get_seat_price > purchase_tickets > purchase_tickets!bad-args > purchase_tickets > set_ticket_delivery
llama-3.1-8b,Q4_K_M,0,s01_flight_booking,1,premature-stop,6,3,1,1,1,"BR-7741, $890, 17:30",search_flights > book_flight > book_flight > get_weather!wrong-tool > get_weather!wrong-tool
llama-3.1-8b,Q4_K_M,0,s04_cloud_drive,1,premature-stop,7,5,1,1,1,"SL-4192, budget_2026.xlsx",list_folder > create_folder > move_file > move_file > set_permission > get_share_link
llama-3.1-8b,Q4_K_M,0,s05_analytics_pipeline,1,loop,10,4,1,1,0,,find_dataset > fetch_rows > fetch_rows > validate_rows > store_report!bad-args > store_report!bad-args > store_report!bad-args > store_report!bad-args > fetch_rows!loop > fetch_rows!loop
llama-3.1-8b,Q4_K_M,0,s06_order_placement,1,loop,10,4,1,0,0,,search_catalog > add_to_cart > apply_coupon > checkout > checkout!bad-args > checkout!bad-args > checkout!bad-args
llama-3.1-8b,Q4_K_M,0,s09_bank_transfer,1,loop,10,5,0,0,0,,get_fee_schedule > get_balance!bad-args > list_accounts > get_balance > verify_payee > get_balance > get_balance!loop > get_fee_schedule!loop > get_balance!loop > get_balance!loop
llama-3.1-8b,Q4_K_M,0,s10_expense_report,1,premature-stop,5,4,0,0,1,,get_report_items > get_policy_limits > filter!invalid-output > calculate!invalid-output
llama-3.1-8b,Q4_K_M,0,s11_invoice_creation,1,loop,10,5,1,0,0,,find_client > get_contract_terms > get_tax_rate > get_currency_conversion!wrong-tool > create_invoice_draft > create_invoice_draft!bad-args > create_invoice_draft!bad-args
llama-3.1-8b,Q4_K_M,0,s16_food_delivery_order,1,premature-stop,7,4,1,1,1,"Order ID: OD-7731, Order Total: 21.00 USD",find_restaurant > get_menu > place_order > place_order!bad-args > place_order > confirm_delivery
llama-3.1-8b,Q4_K_M,0,s17_event_tickets,1,premature-stop,9,5,1,1,1,"Purchase reference TX-5510, amount charged $186",list_shows > get_seat_price > get_seat_price > get_seat_price > purchase_tickets > purchase_tickets!bad-args > purchase_tickets > set_ticket_delivery
llama-3.1-8b,Q4_K_M,1,s04_cloud_drive,0,premature-stop,7,5,1,1,1,"SL-4192, budget_2026.xlsx",list_folder > create_folder > move_file > move_file > set_permission > get_share_link
llama-3.1-8b,Q4_K_M,1,s05_analytics_pipeline,0,loop,10,4,1,1,0,,find_dataset > fetch_rows > fetch_rows > validate_rows > store_report!bad-args > fetch_rows!loop > fetch_rows!loop > fetch_rows!loop > fetch_rows!loop > fetch_rows!loop
llama-3.1-8b,Q4_K_M,1,s06_order_placement,0,loop,10,4,1,0,0,,search_catalog > add_to_cart > apply_coupon > checkout > checkout!bad-args > checkout!bad-args > checkout!bad-args > checkout!bad-args > checkout!bad-args > checkout!bad-args
llama-3.1-8b,Q4_K_M,1,s09_bank_transfer,0,loop,10,5,0,0,0,,get_fee_schedule > get_fee_schedule!loop > list_accounts > verify_payee > get_balance > get_fee_schedule!loop > get_balance!loop > get_fee_schedule!loop > get_balance!loop > get_balance!loop
llama-3.1-8b,Q4_K_M,1,s10_expense_report,0,loop,9,4,0,0,0,,get_report_items > get_policy_limits > get_report_items!loop > get_policy_limits!loop > get_report_items!loop > get_policy_limits!loop > get_report_items!loop > get_policy_limits!loop > get_report_items!loop
llama-3.1-8b,Q4_K_M,1,s11_invoice_creation,0,loop,10,5,0,0,0,,find_client > get_contract_terms > get_tax_rate > get_currency_conversion!wrong-tool > get_currency_conversion!wrong-tool > get_currency_conversion!wrong-tool > get_currency_conversion!wrong-tool > get_currency_conversion!wrong-tool > get_currency_conversion!wrong-tool > get_currency_conversion!wrong-tool
llama-3.1-8b,Q4_K_M,1,s16_food_delivery_order,0,premature-stop,7,4,1,1,1,"Order ID: OD-7731, Order Total: 21.00 USD",find_restaurant > get_menu > place_order > place_order!bad-args > place_order > confirm_delivery
llama-3.1-8b,Q4_K_M,1,s17_event_tickets,0,premature-stop,9,5,1,1,1,"Purchase reference TX-5510, amount charged $186",list_shows > get_seat_price > get_seat_price > get_seat_price > purchase_tickets > purchase_tickets!bad-args > purchase_tickets > set_ticket_delivery
llama-3.1-8b,Q4_K_M,1,s01_flight_booking,1,premature-stop,6,3,1,1,1,"BR-7741, $890, 17:30",search_flights > book_flight > book_flight > get_weather!wrong-tool > get_weather!wrong-tool
llama-3.1-8b,Q4_K_M,1,s04_cloud_drive,1,premature-stop,7,5,1,1,1,"SL-4192, budget_2026.xlsx",list_folder > create_folder > move_file > move_file > set_permission > get_share_link
llama-3.1-8b,Q4_K_M,1,s05_analytics_pipeline,1,loop,10,4,1,1,0,,find_dataset > fetch_rows > fetch_rows > validate_rows > store_report!bad-args > store_report!bad-args > store_report!bad-args > store_report!bad-args > fetch_rows!loop > fetch_rows!loop
llama-3.1-8b,Q4_K_M,1,s06_order_placement,1,loop,10,4,1,0,0,,search_catalog > add_to_cart > apply_coupon > checkout > checkout!bad-args > checkout!bad-args > checkout!bad-args > checkout!bad-args > checkout!bad-args > checkout!bad-args
llama-3.1-8b,Q4_K_M,1,s09_bank_transfer,1,loop,10,5,0,0,0,,get_fee_schedule > get_balance!bad-args > list_accounts > get_balance > verify_payee > get_balance > get_balance!loop > get_fee_schedule!loop > get_balance!loop > get_balance!loop
llama-3.1-8b,Q4_K_M,1,s10_expense_report,1,loop,9,4,0,0,0,,get_report_items > get_policy_limits > get_report_items!loop > get_report_items!loop > get_report_items!loop > get_report_items!loop > get_report_items!loop > get_report_items!loop > get_report_items!loop
llama-3.1-8b,Q4_K_M,1,s11_invoice_creation,1,loop,10,5,0,0,0,,find_client > get_contract_terms > get_tax_rate > get_currency_conversion!wrong-tool > get_currency_conversion!wrong-tool > get_currency_conversion!wrong-tool > get_currency_conversion!wrong-tool > get_currency_conversion!wrong-tool > get_currency_conversion!wrong-tool > get_currency_conversion!wrong-tool
llama-3.1-8b,Q4_K_M,1,s16_food_delivery_order,1,premature-stop,7,4,1,1,1,"Order ID: OD-7731, Order Total: 21.00 USD",find_restaurant > get_menu > place_order > place_order!bad-args > place_order > confirm_delivery
llama-3.1-8b,Q4_K_M,1,s17_event_tickets,1,premature-stop,9,5,1,1,1,"Purchase reference TX-5510, amount charged $186",list_shows > get_seat_price > get_seat_price > get_seat_price > purchase_tickets > purchase_tickets!bad-args > purchase_tickets > set_ticket_delivery
llama-3.1-8b,Q8_0,0,s01_flight_booking,0,premature-stop,6,3,1,1,1,The booked flight KE023 arrives at 17:30.,search_flights > book_flight > book_flight > search_flights!loop > json_query!invalid-output
llama-3.1-8b,Q8_0,0,s04_cloud_drive,0,premature-stop,7,5,1,1,1,"SL-4192, budget_2026.xlsx",list_folder > create_folder > move_file > move_file > set_permission > get_share_link
llama-3.1-8b,Q8_0,0,s05_analytics_pipeline,0,loop,10,4,1,1,0,,find_dataset > fetch_rows > fetch_rows > validate_rows > store_report!bad-args > fetch_rows!loop > fetch_rows!loop > fetch_rows!loop > fetch_rows!loop > fetch_rows!loop
llama-3.1-8b,Q8_0,0,s06_order_placement,0,loop,10,4,1,0,0,,search_catalog > add_to_cart > apply_coupon > get_gift_wrap_options!wrong-tool > checkout > checkout!bad-args > checkout!bad-args > checkout!bad-args
llama-3.1-8b,Q8_0,0,s09_bank_transfer,0,loop,10,5,0,0,0,,get_fee_schedule > list_accounts > verify_payee > get_balance > get_balance > get_balance!loop > get_balance!loop > get_balance!loop > get_balance!loop > get_balance!loop
llama-3.1-8b,Q8_0,0,s10_expense_report,0,loop,9,4,0,0,0,,get_report_items > get_policy_limits > filter!invalid-output > filter!invalid-output > get_report_items!loop > filter!invalid-output > map!invalid-output > filter!invalid-output
llama-3.1-8b,Q8_0,0,s11_invoice_creation,0,loop,10,5,0,0,0,,find_client > get_contract_terms > get_tax_rate > get_currency_conversion!wrong-tool > get_currency_conversion!wrong-tool > get_currency_conversion!wrong-tool > get_currency_conversion!wrong-tool > get_currency_conversion!wrong-tool > get_currency_conversion!wrong-tool > get_currency_conversion!wrong-tool
llama-3.1-8b,Q8_0,0,s15_restaurant_reservation,0,loop,9,4,1,0,0,,search_restaurants > list_slots > list_slots!loop > reserve_table > reserve_table!bad-args > list_slots!loop > list_slots!loop > list_slots!loop > list_slots!loop
llama-3.1-8b,Q8_0,0,s16_food_delivery_order,0,premature-stop,6,4,1,1,1,"Order ID: OD-7731, Total: 21.00 USD",find_restaurant > get_menu > place_order > place_order > confirm_delivery
llama-3.1-8b,Q8_0,0,s17_event_tickets,0,premature-stop,9,5,1,1,1,"TX-5530, $58",list_shows > get_seat_price > get_seat_price > get_seat_price > purchase_tickets > purchase_tickets!bad-args > purchase_tickets > set_ticket_delivery
llama-3.1-8b,Q8_0,0,s19_library_hold,0,loop,9,4,0,0,0,,search_catalog!bad-args > search_catalog!bad-args > search_catalog!bad-args > search_catalog!bad-args > search_catalog!bad-args > search_catalog!bad-args > search_catalog!bad-args > search_catalog!bad-args > search_catalog!bad-args
llama-3.1-8b,Q8_0,0,s01_flight_booking,1,premature-stop,6,3,1,1,1,"17:30, BR-7741, 890",search_flights > book_flight > book_flight > search_flights!loop > json_query!invalid-output
llama-3.1-8b,Q8_0,0,s04_cloud_drive,1,premature-stop,7,5,1,1,1,"SL-4192, budget_2026.xlsx",list_folder > create_folder > move_file > move_file > set_permission > get_share_link
llama-3.1-8b,Q8_0,0,s05_analytics_pipeline,1,loop,10,4,1,1,0,,find_dataset > fetch_rows > fetch_rows > validate_rows > store_report!bad-args > fetch_rows!loop > fetch_rows!loop > fetch_rows!loop > fetch_rows!loop > fetch_rows!loop
llama-3.1-8b,Q8_0,0,s06_order_placement,1,loop,10,4,1,0,0,,search_catalog > add_to_cart > apply_coupon > get_gift_wrap_options!wrong-tool > checkout > checkout!bad-args > checkout!bad-args > checkout!bad-args
llama-3.1-8b,Q8_0,0,s09_bank_transfer,1,loop,10,5,0,0,0,,get_fee_schedule > list_accounts > verify_payee > get_balance > get_balance > get_balance!loop > get_balance!loop > get_balance!loop > get_balance!loop > get_balance!loop
llama-3.1-8b,Q8_0,0,s10_expense_report,1,loop,9,4,0,0,0,,get_report_items > get_policy_limits > filter!invalid-output > get_report_items!loop > filter!invalid-output > map!invalid-output > filter!invalid-output > map!invalid-output
llama-3.1-8b,Q8_0,0,s11_invoice_creation,1,loop,10,5,0,0,0,,find_client > get_contract_terms > get_tax_rate > get_currency_conversion!wrong-tool > get_currency_conversion!wrong-tool > get_currency_conversion!wrong-tool > get_currency_conversion!wrong-tool > get_currency_conversion!wrong-tool > get_currency_conversion!wrong-tool > get_currency_conversion!wrong-tool
llama-3.1-8b,Q8_0,0,s15_restaurant_reservation,1,loop,9,4,1,0,0,,search_restaurants > list_slots > list_slots!loop > reserve_table > reserve_table!bad-args > list_slots!loop > list_slots!loop > list_slots!loop > list_slots!loop
llama-3.1-8b,Q8_0,0,s16_food_delivery_order,1,premature-stop,6,4,1,1,1,"Order ID: OD-7731, Total: 21.00 USD",find_restaurant > get_menu > place_order > place_order > confirm_delivery
llama-3.1-8b,Q8_0,0,s17_event_tickets,1,premature-stop,9,5,1,1,1,"TX-5530, $58",list_shows > get_seat_price > get_seat_price > get_seat_price > purchase_tickets > purchase_tickets!bad-args > purchase_tickets > set_ticket_delivery
llama-3.1-8b,Q8_0,0,s19_library_hold,1,loop,9,4,0,0,0,,search_catalog!bad-args > search_catalog!bad-args > search_catalog!bad-args > search_catalog!bad-args > search_catalog!bad-args > search_catalog!bad-args > search_catalog!bad-args > search_catalog!bad-args > search_catalog!bad-args
llama-3.1-8b,Q8_0,1,s01_flight_booking,0,loop,10,3,1,1,0,,search_flights > book_flight > book_flight > search_flights!loop > get_weather!wrong-tool > search_flights!loop > search_flights!loop > search_flights!loop > search_flights!loop > search_flights!loop
llama-3.1-8b,Q8_0,1,s04_cloud_drive,0,premature-stop,7,5,1,1,1,"SL-4192, budget_2026.xlsx",list_folder > create_folder > move_file > move_file > set_permission > get_share_link
llama-3.1-8b,Q8_0,1,s05_analytics_pipeline,0,loop,10,4,1,1,0,,find_dataset > fetch_rows > fetch_rows > validate_rows > store_report!bad-args > fetch_rows!loop > fetch_rows!loop > fetch_rows!loop > fetch_rows!loop > fetch_rows!loop
llama-3.1-8b,Q8_0,1,s06_order_placement,0,loop,10,4,1,0,0,,search_catalog > add_to_cart > apply_coupon > get_gift_wrap_options!wrong-tool > checkout > checkout!bad-args > checkout!bad-args > checkout!bad-args > checkout!bad-args > checkout!bad-args
llama-3.1-8b,Q8_0,1,s09_bank_transfer,0,loop,10,5,0,0,0,,get_fee_schedule > list_accounts > verify_payee > get_balance > get_balance > get_balance!loop > get_balance!loop > get_balance!loop > get_balance!loop > get_balance!loop
llama-3.1-8b,Q8_0,1,s10_expense_report,0,loop,9,4,0,0,0,,get_report_items > get_policy_limits > get_report_items!loop > get_report_items!loop > get_report_items!loop > get_report_items!loop > get_report_items!loop > get_report_items!loop > get_report_items!loop
llama-3.1-8b,Q8_0,1,s11_invoice_creation,0,loop,10,5,0,0,0,,find_client > get_contract_terms > get_tax_rate > get_currency_conversion!wrong-tool > get_currency_conversion!wrong-tool > get_currency_conversion!wrong-tool > get_currency_conversion!wrong-tool > get_currency_conversion!wrong-tool > get_currency_conversion!wrong-tool > get_currency_conversion!wrong-tool
llama-3.1-8b,Q8_0,1,s15_restaurant_reservation,0,loop,9,4,1,0,0,,search_restaurants > list_slots > list_slots!loop > reserve_table > reserve_table!bad-args > list_slots!loop > list_slots!loop > list_slots!loop > list_slots!loop
llama-3.1-8b,Q8_0,1,s16_food_delivery_order,0,premature-stop,6,4,1,1,1,"Order ID: OD-7731, Total: 21.00 USD",find_restaurant > get_menu > place_order > place_order > confirm_delivery
llama-3.1-8b,Q8_0,1,s17_event_tickets,0,premature-stop,9,5,1,1,1,"TX-5530, $58",list_shows > get_seat_price > get_seat_price > get_seat_price > purchase_tickets > purchase_tickets!bad-args > purchase_tickets > set_ticket_delivery
llama-3.1-8b,Q8_0,1,s19_library_hold,0,loop,9,4,0,0,0,,search_catalog!bad-args > search_catalog!bad-args > search_catalog!bad-args > search_catalog!bad-args > search_catalog!bad-args > search_catalog!bad-args > search_catalog!bad-args > search_catalog!bad-args > search_catalog!bad-args
llama-3.1-8b,Q8_0,1,s01_flight_booking,1,loop,10,3,1,1,0,,search_flights > book_flight > book_flight > search_flights!loop > get_weather!wrong-tool > search_flights!loop > search_flights!loop > search_flights!loop > search_flights!loop > search_flights!loop
llama-3.1-8b,Q8_0,1,s04_cloud_drive,1,premature-stop,7,5,1,1,1,"SL-4192, budget_2026.xlsx",list_folder > create_folder > move_file > move_file > set_permission > get_share_link
llama-3.1-8b,Q8_0,1,s05_analytics_pipeline,1,loop,10,4,1,1,0,,find_dataset > fetch_rows > fetch_rows > validate_rows > store_report!bad-args > fetch_rows!loop > fetch_rows!loop > fetch_rows!loop > fetch_rows!loop > fetch_rows!loop
llama-3.1-8b,Q8_0,1,s06_order_placement,1,loop,10,4,1,0,0,,search_catalog > add_to_cart > apply_coupon > get_gift_wrap_options!wrong-tool > checkout > checkout!bad-args > checkout!bad-args > checkout!bad-args > checkout!bad-args > checkout!bad-args
llama-3.1-8b,Q8_0,1,s09_bank_transfer,1,loop,10,5,0,0,0,,get_fee_schedule > list_accounts > verify_payee > get_balance > get_balance > get_balance!loop > get_balance!loop > get_balance!loop > get_balance!loop > get_balance!loop
llama-3.1-8b,Q8_0,1,s10_expense_report,1,loop,9,4,0,0,0,,get_report_items > get_policy_limits > get_report_items!loop > get_report_items!loop > get_report_items!loop > get_report_items!loop > get_report_items!loop > get_report_items!loop > get_report_items!loop
llama-3.1-8b,Q8_0,1,s11_invoice_creation,1,loop,10,5,0,0,0,,find_client > get_contract_terms > get_tax_rate > get_currency_conversion!wrong-tool > get_currency_conversion!wrong-tool > get_currency_conversion!wrong-tool > get_currency_conversion!wrong-tool > get_currency_conversion!wrong-tool > get_currency_conversion!wrong-tool > get_currency_conversion!wrong-tool
llama-3.1-8b,Q8_0,1,s15_restaurant_reservation,1,loop,9,4,1,0,0,,search_restaurants > list_slots > list_slots!loop > reserve_table > reserve_table!bad-args > list_slots!loop > list_slots!loop > list_slots!loop > list_slots!loop
llama-3.1-8b,Q8_0,1,s16_food_delivery_order,1,premature-stop,6,4,1,1,1,"Order ID: OD-7731, Total: 21.00 USD",find_restaurant > get_menu > place_order > place_order > confirm_delivery
llama-3.1-8b,Q8_0,1,s17_event_tickets,1,premature-stop,9,5,1,1,1,"TX-5530, $58",list_shows > get_seat_price > get_seat_price > get_seat_price > purchase_tickets > purchase_tickets!bad-args > purchase_tickets > set_ticket_delivery
llama-3.1-8b,Q8_0,1,s19_library_hold,1,loop,9,4,0,0,0,,search_catalog!bad-args > search_catalog!bad-args > search_catalog!bad-args > search_catalog!bad-args > search_catalog!bad-args > search_catalog!bad-args > search_catalog!bad-args > search_catalog!bad-args > search_catalog!bad-args
qwen3-1.7b,bf16,0,s02_customer_refund,0,premature-stop,4,4,1,0,1,Refund service temporarily unavailable. Please retry later.,find_customer > get_order > issue_refund
qwen3-1.7b,bf16,0,s03_meeting_scheduling,0,loop,10,6,1,0,0,,find_slots > list_rooms > list_rooms!loop > find_slots!loop > list_rooms!loop > find_slots!loop > list_rooms!loop > list_rooms > book_meeting > book_meeting!bad-args
qwen3-1.7b,bf16,0,s04_cloud_drive,0,premature-stop,4,5,1,0,1,The move operation will be retried after resolving the sync lock.,list_folder > create_folder > move_file
qwen3-1.7b,bf16,0,s05_analytics_pipeline,0,loop,10,4,1,1,0,,find_dataset > fetch_rows > fetch_rows > validate_rows > store_report!bad-args > store_report!bad-args > store_report!bad-args > store_report!bad-args > store_report!bad-args > store_report!bad-args
qwen3-1.7b,bf16,0,s06_order_placement,0,premature-stop,8,4,1,0,1,Order confirmation ID: 123456789,search_catalog > add_to_cart!bad-args > search_catalog!loop > add_to_cart > apply_coupon > checkout > checkout!bad-args
qwen3-1.7b,bf16,0,s07_inventory_restock,0,premature-stop,6,4,1,1,1,PO-4413,list_low_stock > get_item > create_purchase_order > create_purchase_order > confirm_purchase_order
qwen3-1.7b,bf16,0,s09_bank_transfer,0,premature-stop,2,5,0,0,1,,get_fee_schedule
qwen3-1.7b,bf16,0,s10_expense_report,0,premature-stop,3,4,0,0,1,"The line items that are within the policy limits are: [E-1, E-2, E-3, E-4, E-5, E-6], and their summed total is $0.00.",get_report_items > get_policy_limits
qwen3-1.7b,bf16,0,s11_invoice_creation,0,premature-stop,2,5,0,0,1,,find_client
qwen3-1.7b,bf16,0,s15_restaurant_reservation,0,premature-stop,2,4,0,0,1,"Restaurant ID: R-77, Name: Hanok Ember, Cuisine: Korean, District: Riverside, Price Band: $$",search_restaurants
qwen3-1.7b,bf16,0,s16_food_delivery_order,0,premature-stop,3,4,0,0,1,"The highest-priced items are Bibim Rice Bowl (14.5 USD), Tofu Stew Bowl (12.0 USD), and Sesame Fries (5.0 USD), totaling 31.5 USD. However, this exceeds the 24.00 USD budget. I will select the three i",find_restaurant > get_menu
qwen3-1.7b,bf16,0,s17_event_tickets,0,loop,10,5,1,0,0,,list_shows > get_seat_price > purchase_tickets > purchase_tickets!bad-args > purchase_tickets!bad-args > purchase_tickets!bad-args > purchase_tickets!bad-args > purchase_tickets!bad-args > purchase_tickets!bad-args > purchase_tickets!bad-args
qwen3-1.7b,bf16,0,s20_smart_home_thermostat,0,loop,9,4,1,0,0,,list_devices > read_sensor > set_thermostat_target > set_thermostat_target!bad-args > set_thermostat_target!bad-args > set_thermostat_target!bad-args > set_thermostat_target!bad-args > set_thermostat_target!bad-args > set_thermostat_target!bad-args
qwen3-1.7b,bf16,0,s02_customer_refund,1,premature-stop,4,4,1,0,1,Refund service temporarily unavailable. Please retry later.,find_customer > get_order > issue_refund
